,state_id,county_name,percent_female,poverty_level,median_age,pop_density,high_school_education,bachelor_education,graduate_education,obesity_rate,feel_bad,married,elevation,lat,deaths,suicide_rate,percent_students
892,VA,Augusta,0.552,0.299,42.4,469.0,0.7170000000000001,0.04,0.019,0.259,0.196,0.531,1526.0,38.0838,14.0,18.630895347599274,0.0
893,VA,Bedford,0.5489999999999999,0.215,44.8,949.0,0.828,0.237,0.061,0.271,0.181,0.436,1017.0,37.336,0.0,0.0,
894,VA,Carroll,0.48,0.211,32.4,466.0,0.768,0.147,0.029,0.317,0.218,0.449,2557.0,36.7613,10.0,33.66096674296486,0.0
895,VA,Chesapeake,0.511,0.095,36.7,706.0,0.943,0.35100000000000003,0.141,0.269,0.203,0.545,15.0,36.6778,32.0,13.31131420109236,0.008956018585922453
896,VA,Culpeper,0.5329999999999999,0.139,32.5,2736.0,0.809,0.196,0.062,0.275,0.202,0.476,430.0,38.4705,11.0,21.45002145002145,0.0004485004485004485
897,VA,Fairfax,0.5011217746813792,0.07576382080752037,36.56479074974101,6449.187821141264,0.924913880255592,0.5695396424772117,0.24532191652239213,0.2303773110003268,0.1945119139497855,0.5451934252518722,395.78523601927367,38.87059482419363,0.0,0.0,inf
898,VA,Fauquier,0.5505516053978594,0.08198036295951606,38.87559795253607,2337.7071195905073,0.9088364820846906,0.35624662633783155,0.1377712424383434,0.263,0.20046375058166588,0.4898019543973941,619.0279199627734,38.70982574220567,14.0,20.154034405815878,0.0
899,VA,Franklin,0.5478938899430741,0.2139196204933586,39.42203415559772,988.9411764705883,0.8028044781783681,0.19918944971537003,0.07657237191650854,0.30354618595825433,0.19545540796963945,0.4319630360531309,453.8899430740038,36.80703070967742,0.0,0.0,inf
900,VA,Frederick,0.46128699284009544,0.06519272076372315,35.34507756563246,1835.6652744630069,0.8966145584725538,0.2556327565632458,0.09822165871121717,0.277,0.21437470167064437,0.46596360381861573,763.2398568019094,39.0654165274463,17.0,19.656815133435085,0.04791637759585588
901,VA,Hampton,0.515,0.159,36.6,2601.0,0.918,0.282,0.117,0.327,0.183,0.444,10.0,37.0551,15.0,11.13842086894534,0.09103060095493395
902,VA,Hanover,0.514,0.18,32.5,1086.0,0.836,0.249,0.102,0.251,0.209,0.332,221.0,37.7597,15.0,14.161230327690868,0.012273066283998754
903,VA,Loudoun,0.5100987551137114,0.05432188155251543,35.638355401105585,4449.114341852519,0.9079982551063798,0.5067605683367792,0.189354345371633,0.23,0.2185922520858077,0.5795200662766316,383.63656358597626,39.11429136644232,43.0,10.80184887459807,0.0
904,VA,Lynchburg,0.542,0.179,27.8,1640.0,0.884,0.333,0.124,0.287,0.193,0.34600000000000003,818.0,37.4003,15.0,18.51966170751281,0.8470029014136675
905,VA,Montgomery,0.47131964023824485,0.32708081170871867,26.863389302924183,2067.491365119272,0.9430040405854359,0.6167315405106102,0.32771672503067856,0.252,0.18032772140911674,0.30026643919667173,699.5285983658076,37.20038662266918,10.0,10.14620684057265,0.31520206170923
906,VA,Newport News,0.516,0.17600000000000002,33.4,2627.0,0.9,0.253,0.087,0.298,0.198,0.434,15.0,37.1051,19.0,10.591566882957611,0.035370258880192657
907,VA,Norfolk,0.477,0.2,30.5,4554.0,0.875,0.292,0.111,0.285,0.185,0.379,10.0,36.8945,34.0,13.89439442916515,0.2096541521763117
908,VA,Pittsylvania,0.5059663671373555,0.1499553273427471,47.409781771501926,764.2097560975609,0.8452151476251605,0.24811989730423617,0.11255327342747111,0.298,0.18193761232349165,0.48401797175866496,763.7227214377406,36.94756952503209,11.0,17.956838290508994,0.0
909,VA,Portsmouth,0.523,0.18,36.0,2852.0,0.8959999999999999,0.225,0.077,0.315,0.189,0.415,10.0,36.8468,14.0,14.803535930296492,0.0
910,VA,Prince William,0.4888982403128333,0.09196805647250011,36.69677009801432,4595.146247016402,0.8408294906302372,0.3121285993601137,0.12529891828754253,0.282,0.20629990858767963,0.4981730105124168,280.3362576811741,38.645212627596365,44.0,9.502767681087116,0.0
911,VA,Richmond,0.5280129968448738,0.2431941956178315,34.06498422436843,3757.6201901827876,0.8507725552147105,0.38490826503061043,0.1555126183172368,0.28999350157756315,0.19706498422436844,0.30858485801931584,189.6945741454684,37.53229952038579,0.0,0.0,inf
912,VA,Roanoke,0.5226443624770626,0.18846896257715337,39.92525625104261,2343.9204185279236,0.8412242312468722,0.23020615002502273,0.095365887564642,0.246,0.2109252562510426,0.38816514985820466,941.4948749791478,37.27820849937907,0.0,0.0,inf
913,VA,Rockingham,0.5264490681392368,0.09558677645202643,35.198013016467804,2319.772458337442,0.8627580613351741,0.2673681589586826,0.09748969529632187,0.267,0.21645675968839365,0.47368139236761664,1116.3987279361008,38.45019942313381,14.0,17.450484250937965,0.022797811210689668
914,VA,Shenandoah,0.5278923569427771,0.1744952266620934,38.82380952380953,1734.7577888298176,0.8400305836620362,0.20001989367175443,0.06341605213513977,0.259,0.2140211513176699,0.5159407763105242,389.01503458526264,38.87326463156691,10.0,23.13475997686524,0.0
915,VA,Suffolk,0.516,0.109,37.3,226.0,0.8809999999999999,0.261,0.116,0.297,0.197,0.5539999999999999,50.0,36.6953,11.0,12.190121568757826,0.0008533085098130479
916,VA,Virginia Beach,0.508,0.08,36.2,1814.0,0.935,0.353,0.131,0.254,0.2,0.506,15.0,36.7335,52.0,11.544395972781865,0.04219254720436911
917,VA,Washington,0.5162915686274511,0.18999745098039217,45.679147058823524,980.2813725490198,0.8472752941176471,0.3126501960784313,0.12236029411764705,0.253,0.18617117647058823,0.47133421568627454,2060.180882352941,36.71433843137255,21.0,38.612168349054,0.032195193704377886
918,VA,Wise,0.4753403669002441,0.2535279111880954,37.43597354539013,929.6904180773168,0.7841728210377136,0.1921025116132588,0.06812865128730022,0.30600000000000005,0.2045743642232895,0.4494809857491536,1842.9307928509565,36.927380592079366,15.0,38.874203078836885,0.09837764992484321
919,VT,Bennington,0.5364182282793868,0.13310647359454855,35.07751277683134,653.236797274276,0.9105817717206133,0.4511137137989778,0.19141056218057922,0.22899999999999998,0.14756260647359454,0.34780579216354346,752.5357751277684,42.99879429301534,10.0,28.09462268921728,0.0
