state_id,county_name,percent-female,poverty-level,median-age,pop-density,high-school-education,obesity-rate,feel-bad,married,elevation,lat,suicide-rate
AL,Walker,0.5201499300353939,0.22183657091118614,40.25985677833566,445.02576343731994,0.8309885587291136,0.32400000000000007,0.2018264466211211,0.4466637583340192,362.42192773067745,33.82042959091282,31.2217053295451
AR,Benton,0.5025926432744715,0.09617317634751095,34.47495808366454,1753.4422115011887,0.860286997295871,0.26684751794579603,0.21122661442108748,0.5979606196612133,1075.2808184310445,35.91558091931048,23.65752910251596
AR,Boone,0.5354514688753722,0.2213801604762521,38.064345800440016,1148.1466934127086,0.8490042707389672,0.278,0.19387569561278636,0.4693423061990423,1039.6347871101334,36.259541736767176,34.77702576175062
AR,Craighead,0.5088888465760176,0.15513110145382047,33.96828924083242,1038.474720548375,0.889924430456307,0.293,0.220539728052687,0.479813926659349,312.87135144822025,35.825234524316215,16.804369135975353
AR,Crawford,0.5236356923253743,0.19902040054018333,35.20260035054449,1290.8900382150964,0.8462911243283626,0.29,0.23336738212223085,0.5515355285463897,438.4309398615062,35.46750703674971,23.811035621309287
AR,Faulkner,0.5204905704450455,0.1544302680108188,29.654093926727317,1645.9670764691416,0.9319164248832061,0.29100000000000004,0.21589150479468894,0.4737038111630194,319.0872141627736,35.08886910007376,14.556747052258721
AR,Garland,0.4177887569117346,0.21090182265001026,32.60098095433135,856.8924841286093,0.6699706328077002,0.2081805447470817,0.1589240221175507,0.31893295105467956,463.63413884906817,26.99577683186566,33.44888402359667
AR,Greene,0.5153528131600844,0.17133687512001536,36.276118543173524,895.4110606157587,0.8681505472700505,0.297,0.2135408692312616,0.5271390898034949,308.86289445048965,36.065644991358894,31.074512241138216
AR,Hot Spring,0.4155804037196643,0.21187669161563466,35.63743857261662,1239.3084599682468,0.7823848189309746,0.29010266878354873,0.188051258788841,0.38407363725712557,287.73206320405234,31.55122124442428,44.67742896288795
AR,Independence,0.5042959004392387,0.20166537335285506,38.125161054172764,926.4628843338214,0.8234404831625182,0.279,0.20886691068814056,0.47052737920937043,350.0102489019033,35.75682878477306,29.330204778157
AR,Logan,0.513384403264946,0.29783421575115815,39.67861239797043,761.2914184866535,0.8017964923891462,0.277,0.20798830796382087,0.41188363114934917,457.313037723362,35.21584858813148,46.03627658594973
AR,Lonoke,0.52817449376243,0.1336733411679624,34.62738202856626,1254.6320963659375,0.8961189432290726,0.32099999999999995,0.21647916290001806,0.539656391249322,273.179488338456,34.92455286792623,24.692035446788665
AR,Marion,0.5256128786435511,0.24368736902267096,48.21425033339684,494.33320632501426,0.8198536864164603,0.28800000000000003,0.21079424652314727,0.49246199276052577,730.7208992188988,36.298712478567346,73.04601899196494
AR,Miller,0.5056825543582223,0.2479772683797743,38.48989670343685,941.5929987884971,0.8463061276541478,0.342,0.1916081106931072,0.43223579672256585,357.69084358859914,33.43071776127017,34.1033102946526
AR,Pope,0.5070899732238022,0.2195360178854603,30.25988249668547,978.3456729144461,0.8258289442899108,0.29600000000000004,0.21541669482933426,0.41615467803571893,361.2680219408844,35.27771640107105,18.798464792041983
AR,Pulaski,0.5038805390392848,0.14602760953223884,34.88162416520772,1665.2137817373668,0.8873349323981257,0.26101420846292794,0.20215327160887742,0.4230965154445243,306.7212577583313,33.6078732308785,17.006975398267826
AR,Saline,0.3839899361578642,0.05468438769587928,27.487658734764945,1516.505652930934,0.6896678119558908,0.20512164828787002,0.1556869529889727,0.3879056529309345,300.6499825885084,26.274726585026116,20.113473513069568
AR,Sebastian,0.5188215170321084,0.19448484156072057,37.035077825812756,1553.6605277348715,0.8208547495224429,0.278,0.22252950800193766,0.4688502435769713,409.6479604427343,35.32734108362048,18.73433926327211
AR,Washington,0.49893612281636873,0.16397561674695524,30.86142628704756,2077.3092886667405,0.8342000643649493,0.25199999999999995,0.215223869339153,0.4870528295435118,1285.9353484255728,36.11460378948639,19.827928067725306
AR,White,0.528864200712144,0.20963996907796104,33.45204272863568,1463.5596889055473,0.8650454694527736,0.28,0.21256196120689658,0.497012556221889,256.64184314092955,35.21933970436657,18.983497013263136
AZ,Apache,0.11111738804571857,0.03695737305602398,7.708141277871462,75.86640434701143,0.18532115420648304,0.06725548060708263,0.05041961776278808,0.11733155330710135,1505.7818999437884,7.284977384298294,37.70633745775494
AZ,Cochise,0.33599877971532904,0.15068821260898727,26.319613980177362,518.0365712795291,0.6095312523287875,0.1578132498695879,0.14367550674416874,0.35469009426931963,1170.5382852671587,22.24043548513302,29.657892205585302
AZ,Coconino,0.3785047578308488,0.10679716063631446,24.03750090798298,735.5132646225615,0.727864432086908,0.16469144720381595,0.15947389448027052,0.2824898104131524,4880.960072961477,27.056950722754458,28.41393419332841
AZ,Gila,0.3041005220832807,0.09449690539345712,31.07041808765947,402.21622247484316,0.5047378005136626,0.15923860047997979,0.1158325754705065,0.315195002315692,2545.7519051829395,19.932172241168793,37.38247883217136
AZ,Graham,0.3513670568889237,0.12106201793195254,20.489338710308914,783.2413766101562,0.6061598214635293,0.19299263928585408,0.14553247719353196,0.330608198582671,1380.0384871383267,22.08331340198113,26.690866385522877
